,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,1.0,9.0,4.04,4.0
1,1,1.0,9.0,4.33,4.0
2,2,1.0,9.0,4.83,5.0
3,3,3.0,9.0,5.14,5.0
4,4,2.0,9.0,5.56,5.0
5,5,2.0,9.0,5.88,5.5
6,6,2.0,9.0,6.51,7.0
7,7,3.0,9.0,7.05,7.0
8,8,3.0,9.0,7.36,9.0
9,9,3.0,9.0,7.65,9.0
10,10,3.0,9.0,7.91,9.0
11,11,3.0,9.0,8.21,9.0
12,12,5.0,9.0,8.65,9.0
13,13,5.0,9.0,8.59,9.0
14,14,5.0,9.0,8.81,9.0
15,15,5.0,9.0,8.86,9.0
16,16,5.0,9.0,8.83,9.0
17,17,5.0,9.0,8.84,9.0
18,18,5.0,9.0,8.9,9.0
19,19,6.0,9.0,8.88,9.0
20,20,6.0,9.0,8.95,9.0
21,21,7.0,9.0,8.98,9.0
22,22,6.0,9.0,8.95,9.0
23,23,9.0,9.0,9.0,9.0
24,24,5.0,9.0,8.96,9.0
25,25,5.0,9.0,8.92,9.0
26,26,5.0,9.0,8.92,9.0
27,27,9.0,9.0,9.0,9.0
28,28,9.0,9.0,9.0,9.0
29,29,9.0,9.0,9.0,9.0
30,30,9.0,9.0,9.0,9.0
31,31,9.0,9.0,9.0,9.0
32,32,9.0,9.0,9.0,9.0
33,33,9.0,9.0,9.0,9.0
34,34,9.0,9.0,9.0,9.0
35,35,9.0,9.0,9.0,9.0
36,36,9.0,9.0,9.0,9.0
37,37,9.0,9.0,9.0,9.0
38,38,9.0,9.0,9.0,9.0
39,39,9.0,9.0,9.0,9.0
40,40,9.0,9.0,9.0,9.0
41,41,6.0,9.0,8.97,9.0
42,42,9.0,9.0,9.0,9.0
43,43,9.0,9.0,9.0,9.0
44,44,9.0,9.0,9.0,9.0
45,45,9.0,9.0,9.0,9.0
46,46,9.0,9.0,9.0,9.0
47,47,9.0,9.0,9.0,9.0
48,48,9.0,9.0,9.0,9.0
49,49,9.0,9.0,9.0,9.0
50,50,9.0,9.0,9.0,9.0
51,51,9.0,9.0,9.0,9.0
52,52,9.0,9.0,9.0,9.0
53,53,9.0,9.0,9.0,9.0
54,54,9.0,9.0,9.0,9.0
55,55,9.0,9.0,9.0,9.0
56,56,9.0,9.0,9.0,9.0
57,57,9.0,9.0,9.0,9.0
58,58,9.0,9.0,9.0,9.0
59,59,9.0,9.0,9.0,9.0
60,60,9.0,9.0,9.0,9.0
61,61,5.0,9.0,8.93,9.0
62,62,6.0,9.0,8.97,9.0
63,63,6.0,9.0,8.94,9.0
64,64,6.0,9.0,8.97,9.0
65,65,9.0,9.0,9.0,9.0
66,66,9.0,9.0,9.0,9.0
67,67,9.0,9.0,9.0,9.0
68,68,9.0,9.0,9.0,9.0
69,69,9.0,9.0,9.0,9.0
70,70,9.0,9.0,9.0,9.0
71,71,9.0,9.0,9.0,9.0
72,72,9.0,9.0,9.0,9.0
73,73,9.0,9.0,9.0,9.0
74,74,9.0,9.0,9.0,9.0
75,75,9.0,9.0,9.0,9.0
76,76,9.0,9.0,9.0,9.0
77,77,9.0,9.0,9.0,9.0
78,78,9.0,9.0,9.0,9.0
79,79,9.0,9.0,9.0,9.0
80,80,9.0,9.0,9.0,9.0
81,81,9.0,9.0,9.0,9.0
82,82,9.0,9.0,9.0,9.0
83,83,9.0,9.0,9.0,9.0
84,84,9.0,9.0,9.0,9.0
85,85,9.0,9.0,9.0,9.0
86,86,9.0,9.0,9.0,9.0
87,87,9.0,9.0,9.0,9.0
88,88,9.0,9.0,9.0,9.0
89,89,9.0,9.0,9.0,9.0
90,90,9.0,9.0,9.0,9.0
91,91,9.0,9.0,9.0,9.0
92,92,9.0,9.0,9.0,9.0
93,93,9.0,9.0,9.0,9.0
94,94,9.0,9.0,9.0,9.0
95,95,9.0,9.0,9.0,9.0
96,96,6.0,9.0,8.97,9.0
97,97,9.0,9.0,9.0,9.0
98,98,9.0,9.0,9.0,9.0
99,99,9.0,9.0,9.0,9.0
100,100,9.0,9.0,9.0,9.0
